channel,window_days,current_month,train_orders,test_orders,train_first_month,train_last_month,test_month,k80_train,train_relative_error_k80,future_relative_error_k80,future_error_inflation_k80,k90_train,train_relative_error_k90,future_relative_error_k90,future_error_inflation_k90,k95_train,train_relative_error_k95,future_relative_error_k95,future_error_inflation_k95,basis_angle_dimension,basis_max_angle_deg,basis_mean_angle_deg,train_pc1_energy_pct,test_pc1_energy_pct
purchase_freight,60,2018-03,57051,7003,2016-12,2018-02,2018-03,15,0.4417663515783854,0.25606297571277553,0.5796344035662495,27,0.31078734218405235,0.19450610585962608,0.6258495101272078,37,0.21605384992160293,0.14017476740510004,0.6487955084159052,18,89.43883362654897,48.45226032834139,38.21111798107399,21.782409944827762
purchase_freight,60,2018-04,64054,6798,2016-12,2018-03,2018-04,14,0.43892275479723775,0.26990343358811886,0.6149223995297348,26,0.3098592414884436,0.21243970975103865,0.6856006899473474,36,0.2176551354298847,0.16871141230540324,0.7751317788674544,17,89.67659190783623,49.32636491618388,42.69507936417324,25.555820617774486
purchase_freight,60,2018-05,70852,6749,2016-12,2018-04,2018-05,13,0.43874231305338796,0.3263325191416326,0.7437908527001887,25,0.31035695983947564,0.23187089645811457,0.7471103486064691,35,0.22154596336611648,0.18407212383632024,0.8308529798492933,14,89.82769003008309,44.03864770977922,45.93450719711048,24.419333741264293
purchase_freight,60,2018-06,77601,6096,2016-12,2018-05,2018-06,12,0.44257544689320333,0.39692195466890345,0.8968458540915931,24,0.31243904532679717,0.2779310062038983,0.8895527315198234,35,0.21851608303292377,0.19912130275374718,0.9112432366076487,11,89.65770966941955,49.55742775932012,47.55963547620245,24.835447408477478
purchase_freight,60,2018-07,83697,6156,2016-12,2018-06,2018-07,12,0.43757363850847153,0.3705795261339786,0.8468963701678845,24,0.3091597869377277,0.2897244991963097,0.9371351367073728,35,0.21713605606117423,0.22466721981582427,1.0346840773074015,12,88.9629240434135,42.07059798331847,46.725513072711195,26.812618535272097
purchase_freight,60,2018-08,89853,6351,2016-12,2018-07,2018-08,12,0.4346356281849729,0.31967889904083097,0.7355101107928076,24,0.30819904840765483,0.24052555714550966,0.7804227767353991,35,0.217538264448875,0.19604580437242694,0.9012014730792378,13,89.84037304061881,41.98865459520453,45.91269813790284,23.156782923613086
purchase_freight,90,2017-05,7253,3545,2016-12,2017-04,2017-05,4,0.4433174597611765,0.4995837015171206,1.1269208791962668,11,0.3111490160498455,0.3235663852287741,1.0399081100643408,26,0.2213715417173021,0.296222472130961,1.3381235448468154,11,89.85524009824645,57.60043256891329,62.64464595640319,22.809980502050752
purchase_freight,90,2017-06,10798,3135,2016-12,2017-05,2017-06,5,0.4178724292469918,0.4331243761619326,1.0364990505413934,12,0.3148167497115944,0.3455683425389185,1.0976809297964476,29,0.22186000472965345,0.2852766052473899,1.2858406164509573,12,89.97234368398122,59.47762757125444,66.47054614035397,18.17959787792023
purchase_freight,90,2017-07,13933,3872,2016-12,2017-06,2017-07,5,0.42352168388240685,0.406044544174286,0.9587337782851905,14,0.3124354812484761,0.3502924187014815,1.1211672160336303,32,0.22295255142668421,0.29252096148821244,1.3120323567340073,14,89.72325783221771,57.391047274121895,67.67212406218121,16.889247230825625
purchase_freight,90,2017-08,17805,4193,2016-12,2017-07,2017-08,5,0.4211639158745038,0.42193750515696166,1.001836789082112,16,0.31301697454922583,0.3588791724848216,1.1465166481838298,35,0.2222290533187704,0.3086160736687235,1.388729642051067,16,89.92668287195427,57.72635423872214,68.18383182994596,18.796221467872968
