previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift
2017-04,2017-05,2303,3545,ADEQUATE,total_freight,0.06404377193664729,0.10872118530031459,0.1385953891980727,16.61,16.46,-0.14999999999999858,9.830000000000002,0.015259409969481033
2017-04,2017-05,2303,3545,ADEQUATE,mean_freight,0.07046527280599842,0.4273780545576556,0.27045608704931856,16.05,15.87,-0.1800000000000015,6.892500000000002,0.026115342763873985
2017-04,2017-05,2303,3545,ADEQUATE,max_freight,0.06970462884310463,0.39146357294366635,0.25906619600385866,16.05,16.05,0.0,6.914999999999999,0.0
2017-04,2017-05,2303,3545,ADEQUATE,merchandise_plus_freight,0.03392104613654723,0.01100073360811887,0.04451925404542868,103.63,104.28,0.6500000000000057,127.75,0.005088062622309242
2017-04,2017-05,2303,3545,ADEQUATE,freight_price_ratio,0.02526954784554636,0.012780795975660111,0.04798503409117574,0.2236734693877551,0.2180257510729613,-0.005647718314793798,0.2667176468540477,0.021174895554939874
2017-05,2017-06,3545,3135,ADEQUATE,item_count,0.012643096393374798,0.0,0.0,1.0,1.0,0.0,0.0,
2017-05,2017-06,3545,3135,ADEQUATE,unique_product_count,0.005558967299001405,0.0,0.0,1.0,1.0,0.0,0.0,
2017-05,2017-06,3545,3135,ADEQUATE,unique_seller_count,0.001052316648783136,0.0,0.0,1.0,1.0,0.0,0.0,
2017-05,2017-06,3545,3135,ADEQUATE,total_price,0.03287196064272746,0.006172815993960738,0.03335104618054316,87.9,79.9,-8.0,99.1,0.08072653884964683
2017-05,2017-06,3545,3135,ADEQUATE,mean_price,0.032232202509093644,0.009554627543437784,0.04148289834405303,79.0,74.99,-4.010000000000005,95.00999999999999,0.04220608357015057
2017-05,2017-06,3545,3135,ADEQUATE,max_price,0.03451274679839744,0.011502457385952732,0.04551132934288365,79.9,75.0,-4.900000000000006,94.67,0.05175874088940536
2017-05,2017-06,3545,3135,ADEQUATE,min_price,0.030123070209181146,0.004026908407957014,0.026943324527732362,79.0,74.9,-4.099999999999994,95.0,0.04315789473684205
