channel,lag_day,orders_full_90d_support,mean,std,median,p05,p25,p75,p95,zero_pct
purchase_freight,13,96204,4300.19359610828,2064.6947821345384,4076.960000002058,1502.2300000000032,2882.3774999997986,5592.057500001276,7388.969999999739,0.11434036006818843
purchase_freight,14,96204,4353.741056712829,2067.850667868815,4130.579999999376,1492.119999999879,2935.792499999574,5703.260000003036,7514.266999998222,0.17982620265269636
purchase_freight,15,96204,4325.1335350921145,2026.8668070636588,4101.804999998945,1467.1860000000213,2923.3399999993853,5689.662499999977,7474.363499998417,0.2078915637603426
purchase_freight,16,96204,4234.274857074579,2006.2589624697328,3996.2500000015134,1445.7399999998743,2832.397499999759,5561.829999999842,7393.378499997848,0.24011475614319572
purchase_freight,17,96204,4180.718046754835,2049.5930917549417,3958.13999999885,1422.5099999997765,2772.150000000227,5425.779999999795,7292.569999998668,0.2629828281568334
purchase_freight,18,96204,4159.587934493388,2064.43274259087,3927.9199999987613,1424.8174999998548,2756.3099999994593,5385.485000003857,7196.882499996671,0.2848114423516694
purchase_freight,19,96204,4147.421380711839,2037.4052031342683,3927.1099999998696,1416.4170000000065,2764.2000000005355,5384.750000000466,7142.859999999637,0.3191135503721259
purchase_freight,20,96204,4169.981310132645,2010.6752952942973,3931.370000001043,1416.8420000000099,2795.8899999999558,5444.94000000041,7171.008000004301,0.35445511621138415
purchase_freight,21,96204,4223.092121949189,2010.8123892268177,3987.0499999996973,1413.4800000000978,2851.799999999639,5562.382500000414,7225.519499995989,0.40123071805746124
purchase_freight,22,96204,4199.179643465967,1972.743195283513,3964.7000000015832,1385.1154999999885,2842.9999999998836,5557.6474999999045,7202.671999998302,0.4594403559103572
purchase_freight,23,96204,4098.569565402699,1933.4620484801414,3862.289999998291,1365.2759999998948,2718.1199999999444,5430.0200000002515,7119.916999998968,0.5446758970520976
purchase_freight,24,96204,4047.110616918238,1971.4891662040195,3818.1450000019395,1352.3699999999371,2698.340000000171,5319.809999998426,7061.07999999891,0.5841752941665627
purchase_freight,25,96204,4021.0924081119306,1966.6510836924954,3792.480000004638,1370.2914999998145,2692.4949999999953,5257.837500002061,6978.090000005672,0.6039249927237953
purchase_freight,26,96204,4013.9892272670445,1944.2826113304368,3794.3349999992934,1355.729999999894,2705.7874999999476,5246.779999999359,6951.354999998535,0.641345474200657
purchase_freight,27,96204,4044.7697155003743,1924.5529162996738,3822.969999998808,1374.29300000003,2701.5099999994272,5332.019999997225,6984.2830000009835,0.7016340276911562
purchase_freight,28,96204,4102.285953910426,1916.405345676244,3890.9799999991665,1371.3899999998976,2745.4074999999866,5438.329999998212,7059.574499999744,0.7640014968192591
purchase_freight,29,96204,4093.1372862874628,1897.110420016297,3871.449999999255,1344.0229999999628,2765.3399999997637,5443.012500000419,7059.803999998094,0.8440397488669911
purchase_freight,30,96204,4019.4877808615065,1869.4782632858055,3805.2199999992736,1332.432000000216,2688.519999999611,5334.599999999395,7011.689999996452,0.89809155544468
purchase_freight,31,96204,3958.6474652821157,1825.60048984519,3789.1399999992573,1311.4774999999966,2644.0699999993667,5213.0524999985355,6918.797999997261,0.9459066151095588
purchase_freight,32,96204,3954.8092034634674,1913.0406481114117,3754.304999999207,1312.7374999998367,2629.2924999995303,5181.859999998647,6903.746999999334,1.0072346264188599
purchase_freight,33,96204,3962.8431855224294,1921.0805164617602,3759.3599999998696,1300.149999999987,2644.5899999995017,5204.7574999993085,6862.585999999077,1.0706415533657645
purchase_freight,34,96204,4006.9123151843855,1942.1758457265262,3796.3149999994203,1321.4374999998022,2677.7399999999907,5306.197500002163,6900.670000004349,1.1350879381314707
purchase_freight,35,96204,4062.886350983306,1942.8609926130707,3844.969999999157,1323.0275000000383,2702.907499999841,5413.229999998817,6993.830500004893,1.2587834185688744
purchase_freight,36,96204,4050.6459813521096,1920.0362533307023,3825.6350000000675,1295.6899999998568,2730.1474999994243,5404.199999999953,6989.320500003418,1.38351835682508
purchase_freight,37,96204,3979.198948068672,1887.8877811136051,3794.9899999990594,1274.329499999952,2650.949999999255,5285.745000002033,6978.505499999318,1.4531620306847948
purchase_freight,38,96204,3935.3741952517403,1847.8923213888722,3793.1699999995762,1260.30999999985,2610.414999999921,5206.429999998887,6911.117000005305,1.4926614277992598
purchase_freight,39,96204,3948.0578217121706,1946.760811346618,3782.074999999779,1256.8979999999917,2600.187500000131,5197.315000003902,6888.269999999553,1.5228057045445096
purchase_freight,40,96204,3964.029957278259,2008.454951998799,3773.1699999993434,1259.3300000000017,2595.1199999999953,5217.8900000054855,6884.488499999056,1.6070017878674483
purchase_freight,41,96204,4007.4368570952906,2079.1262252004663,3779.9199999995762,1260.479999999996,2585.239999999947,5322.519999998156,6968.694499998201,1.6683297991767494
purchase_freight,42,96204,4078.494492432699,2078.4080443409052,3852.38999999949,1277.508500000018,2679.929999999935,5429.289999999106,7051.5810000001275,1.75356534031849
purchase_freight,43,96204,4079.142140763342,2051.801310547007,3843.6449999994074,1231.468999999967,2688.2549999996554,5439.9599999982165,7063.421499996817,1.803459315620972
purchase_freight,44,96204,4003.999838987955,2047.8068731281,3770.5299999990966,1198.7869999999773,2617.6700000001,5331.179999999091,7060.735500004685,1.8460770861918423
purchase_freight,45,96204,3965.7217097001885,2090.6201694645574,3764.409999999334,1167.1924999999533,2565.509999999558,5247.490000003483,7020.745999998258,1.8679057003866784
purchase_freight,46,96204,3958.734130597453,2111.7035948205826,3782.8750000017753,1176.693000000065,2562.9999999993015,5215.529999998398,6951.456999999124,1.8980499771319281
purchase_freight,47,96204,3960.3899939711214,2096.7833412755567,3766.8050000017975,1163.8054999999245,2581.2474999996775,5226.209999999264,6903.630000002449,1.9676936509916427
purchase_freight,48,96204,3998.2647120701445,2109.977311898419,3779.109999999695,1187.8799999998882,2584.944999999876,5330.070000000531,6988.29600000036,2.0362978670325558
purchase_freight,49,96204,4062.3580730530575,2130.331486574637,3831.429999999469,1183.7599999997765,2616.797499999593,5446.307499997754,7083.029999998864,2.086191842335038
purchase_freight,50,96204,4052.968544551123,2115.969631043834,3801.9249999994645,1143.8199999998324,2636.722500000731,5441.477500003704,7091.889999998966,2.161032805288761
purchase_freight,51,96204,3971.3249526006953,2087.6858138946172,3738.2899999993388,1115.4889999999884,2569.8249999995605,5313.714999999764,7062.309999997029,2.2036505758596316
purchase_freight,52,96204,3929.6580620348122,2152.779299596559,3721.069999999716,1092.4479999998935,2531.104999999683,5196.157500001515,6968.819999995641,2.256662924618519
purchase_freight,53,96204,3912.6468667622717,2139.143696120063,3720.0749999991385,1072.350000000326,2510.019999999902,5167.180000000866,6912.93999999878,2.3023990686457942
purchase_freight,54,96204,3902.2536710531535,2132.9602052806868,3679.7199999990407,1080.0,2515.1274999996385,5177.417499999923,6857.94549999855,2.353332501767078
purchase_freight,55,96204,3927.8625915761927,2107.9187962666792,3716.5500000005122,1080.0,2525.6899999998277,5261.157499998633,6936.245999997562,2.3990686457943537
purchase_freight,56,96204,3979.8554902082633,2119.604073173994,3742.359999999113,1059.9299999998766,2567.2599999994563,5371.3374999989755,7023.927999998394,2.484304186936094
purchase_freight,57,96204,3955.658832896731,2067.572622742973,3730.080000000191,994.580000000009,2583.917499999734,5350.969999997178,7007.714000000045,2.5705791858966363
purchase_freight,58,96204,3877.3799810818405,2054.8080825690467,3657.764999999141,951.8599999998987,2515.0924999995914,5213.340000000084,6950.360000003129,2.6506174379443683
purchase_freight,59,96204,3842.5666466050993,2115.824082697577,3632.994999999646,922.0600000000013,2476.54999999961,5101.702499999345,6888.430499999038,2.691156292877635
purchase_freight,60,96204,3823.3180565256935,2135.120077207831,3594.099999999278,907.070000000298,2468.3549999996976,5083.292499999487,6833.722500002231,2.7784707496569787
purchase_freight,61,96204,3807.0061352958137,2091.9109290496663,3571.8500000004424,911.8834999999835,2465.2100000001374,5089.530000002414,6802.963000003488,2.854351170429504
purchase_freight,62,96204,3837.922761631513,2088.474115646568,3609.890000001149,894.8330000000157,2454.37499999984,5168.35250000417,6856.797000005271,2.938547253752443
purchase_freight,63,96204,3891.080964616825,2118.9802503564524,3653.484999999637,855.1100000000006,2502.2324999996345,5257.977500002598,6939.993999999015,3.0123487588873643
purchase_freight,64,96204,3873.4301550870823,2065.186342270748,3617.219999999914,807.0200000000004,2526.659999999756,5242.419999999169,6953.212999999819,3.119412914223941
purchase_freight,65,96204,3797.5630744043756,2021.0455086581442,3579.4799999997485,743.1674999999989,2471.099999999802,5081.989999998594,6926.907999998544,3.220240322647707
purchase_freight,66,96204,3761.713730198303,2075.5992707150886,3561.3000000000466,688.6114999999935,2425.5399999997317,5005.534999999683,6876.107999996957,3.2898839965074216
purchase_freight,67,96204,3755.3163112760094,2121.4460151697576,3533.3800000002375,664.6909999999948,2416.5899999991525,4992.57499999876,6840.008500003023,3.3449752609039125
purchase_freight,68,96204,3752.436375826354,2108.6998951715914,3517.369999998715,634.7159999999997,2425.0349999998216,5000.6550000054995,6820.343500001751,3.3834352001995756
purchase_freight,69,96204,3783.9760845702667,2118.030792808603,3531.6999999997206,616.3104999999981,2453.5199999994365,5079.199999999633,6889.796499997621,3.516485801006195
purchase_freight,70,96204,3841.1039862167618,2128.74505612136,3564.640000000247,596.2599999999983,2493.3099999998813,5187.730000003357,7003.8999999989755,3.606918631241944
purchase_freight,71,96204,3831.2641441104092,2111.6054215883632,3571.1499999997905,568.9094999999983,2480.4550000000527,5179.4675000001735,7029.387499999553,3.724377364766538
purchase_freight,72,96204,3767.0834342646754,2078.140265916647,3558.044999999285,512.8119999999991,2420.3999999998487,5026.127499998984,6988.470000002533,3.814810195002287
purchase_freight,73,96204,3732.8166088728003,2145.8464705390693,3521.930000000517,445.56749999999846,2374.9274999997797,4961.887500002689,6884.354000001806,3.857427965573157
purchase_freight,74,96204,3709.107823687155,2145.0047967200476,3496.924999999974,391.5829999999991,2363.6600000000326,4938.029999999097,6835.072500004658,3.934347844164484
purchase_freight,75,96204,3690.141281859375,2120.9036514458885,3461.9899999995832,343.5499999999993,2368.0674999993716,4916.872500004421,6799.007999998257,4.021662300943827
purchase_freight,76,96204,3719.340433246005,2113.346982788422,3480.814999999391,297.2394999999995,2400.4874999994063,4991.79999999865,6884.49999999837,4.12041079372999
purchase_freight,77,96204,3770.268235416388,2143.03858867779,3518.8649999988847,274.6339999999991,2426.6399999998393,5100.887499999371,6943.608000002762,4.2201987443349545
purchase_freight,78,96204,3753.6180854226272,2096.350722979725,3508.9799999985844,267.4000000000078,2428.025000000045,5080.377500003495,6988.912999998621,4.329341815309134
purchase_freight,79,96204,3679.77917311129,2087.5614377326006,3448.1900000015157,233.86999999999716,2339.5574999995297,4935.182500003371,6931.020500004361,4.4519978379277365
purchase_freight,80,96204,3644.648088644949,2096.3622570982347,3436.864999999176,155.58000000000175,2308.7224999999235,4833.517499999172,6900.145999999648,4.485260488129391
purchase_freight,81,96204,3628.1095223691127,2095.5414431254394,3430.1599999994505,131.16999999999916,2299.5699999999924,4837.100000003353,6836.84849999621,4.561140908901916
purchase_freight,82,96204,3639.3405091264153,2158.365836395758,3398.355000001495,112.96000000000004,2301.5999999998603,4861.957500002085,6835.227000005797,4.6401397031308464
purchase_freight,83,96204,3691.3100874183633,2195.7517610172417,3432.1149999995832,93.52999999999975,2335.1899999997477,4968.732499999751,6946.971500002554,4.744085485011018
purchase_freight,84,96204,3740.850541869321,2188.361410540901,3483.70000000007,68.10999999999967,2381.122500000194,5060.54999999993,7039.160000000149,4.882333374911646
purchase_freight,85,96204,3725.7597144609013,2139.141767425908,3489.2899999995716,8.720000000000255,2384.1225000000813,5028.60249999864,7081.449999999672,4.94574030185855
purchase_freight,86,96204,3662.7213378861306,2132.7461477806137,3450.469999999623,0.0,2310.090000000084,4902.0875000045635,7038.319999998901,5.038252047731903
purchase_freight,87,96204,3633.094005238846,2151.272448607412,3435.784999999247,0.0,2266.309999999474,4825.457500001561,6942.549999999348,5.013305060080662
purchase_freight,88,96204,3626.540974595624,2196.5498146354657,3418.5849999995553,0.0,2267.5850000000282,4823.489999998972,6935.479999998934,5.097501143403601
purchase_freight,89,96204,3624.971007650378,2188.738317375092,3394.2299999995157,0.0,2276.592499999955,4840.85499999742,6920.805499997642,5.15155294998129
purchase_freight,90,96204,3670.0233103612773,2211.2685493887143,3431.140000000247,0.0,2284.844999999892,4966.552500004298,7008.207000004854,5.226393912935013
