current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks_statistic,rank_psi,rank_js_distance,rank_normalized_wasserstein,rank_robust_median_shift,consensus_rank_score
2017-02,1017,1653,ADEQUATE,mean_price,0.05221756456036852,0.05176115264069599,0.09639416777106943,18.357266421827344,0.1677995102543633,69.9,76.05,6.1499999999999915,109.4,0.056215722120658056,37.0,42.0,42.0,24.0,31.0,35.2
2017-02,1017,1653,ADEQUATE,min_price,0.05146091757723059,0.05622310256064709,0.10043700166028435,18.214356377160186,0.17021172205551058,69.9,74.99,5.089999999999989,107.00999999999999,0.04756564807027371,38.0,40.0,40.0,23.0,41.0,36.4
2017-02,1017,1653,ADEQUATE,mean_freight,0.06405623457484111,0.18981281989725157,0.17898788595202525,1.2818341384604506,0.21616090024628173,16.26,16.14,-0.120000000000001,5.93,0.02023608768971349,19.0,22.0,22.0,15.0,109.0,37.4
2017-09,22264,4150,ADEQUATE,max_freight,0.05582592677573395,0.09195771779777766,0.12688388973700981,0.7107362302966798,0.10167900290367378,16.08,16.39,0.3100000000000023,6.99,0.044349070100143384,30.0,32.0,32.0,55.0,45.0,38.8
2017-02,1017,1653,ADEQUATE,max_freight,0.06284452867495771,0.1407762388858688,0.1564767724549067,1.3193563147009026,0.2067956606114268,16.33,16.21,-0.11999999999999744,6.379999999999999,0.018808777429466687,22.0,26.0,26.0,16.0,114.0,40.8
2017-09,22264,4150,ADEQUATE,mean_freight,0.056877859984674595,0.07811552317045832,0.11751053005853797,0.717887560785206,0.10779092504282373,16.05,16.28,0.23000000000000043,6.66,0.034534534534534596,25.0,34.0,34.0,49.0,74.0,43.2
2017-06,11064,3135,ADEQUATE,mean_freight,0.05022141727815893,0.36060100549136814,0.2418235761592965,0.8522325912827342,0.1271988942213036,16.05,16.11,0.05999999999999872,6.700000000000001,0.008955223880596823,40.0,1.0,2.0,37.0,139.0,43.8
2018-02,50762,6555,ADEQUATE,max_freight,0.049811403576391355,0.031853867921243374,0.07556884699412036,0.8403835344618804,0.12413346151578733,16.11,15.79,-0.3200000000000003,6.770000000000001,0.04726735598227477,41.0,48.0,48.0,41.0,43.0,44.2
2017-06,11064,3135,ADEQUATE,max_freight,0.04907809110629069,0.3542225035275775,0.23828590267498628,0.8564262334499243,0.1277771329280006,16.05,16.11,0.05999999999999872,6.702500000000002,0.008951883625512674,43.0,2.0,5.0,36.0,141.0,45.4
2017-03,2670,2546,ADEQUATE,total_freight,0.05421355669905936,0.04173451418214176,0.08627988385973927,0.7541989255378905,0.08206734771903051,17.37,16.520000000000003,-0.8499999999999979,9.190000000000001,0.09249183895538604,34.0,44.0,44.0,97.0,17.0,47.2
2017-03,2670,2546,ADEQUATE,max_freight,0.05646574931375059,0.03169894730673273,0.07537793478004554,0.7593983600624916,0.10903063317480136,16.295,16.05,-0.245000000000001,6.965000000000002,0.035175879396985056,28.0,49.0,49.0,48.0,71.0,49.0
2017-06,11064,3135,ADEQUATE,total_freight,0.04631253740741126,0.07676744662461685,0.1170247244891874,1.132756690088471,0.1246156974794797,16.74,16.49,-0.25,9.090000000000003,0.027502750275027493,47.0,35.0,35.0,39.0,91.0,49.4
