channel,current_month,train_orders,test_orders,pve_policy,k_train,train_cumulative_pve,future_relative_error,future_variance_captured,train_before_test
purchase_freight,2018-02,50713,6555,0.99,27,0.9911538241086176,0.07189218033404175,0.9948315144068176,True
purchase_freight,2018-03,57268,7003,0.8,9,0.8157802878255164,0.2673542722803315,0.9285216930934543,True
purchase_freight,2018-03,57268,7003,0.85,11,0.8545904708245754,0.22405160591446321,0.9498008778871501,True
purchase_freight,2018-03,57268,7003,0.9,14,0.9018023532353606,0.18529302130591307,0.9656664962553264,True
purchase_freight,2018-03,57268,7003,0.95,19,0.9528687517397033,0.14396483257190265,0.979274126982544,True
purchase_freight,2018-03,57268,7003,0.99,27,0.9914777979705036,0.07656195761046093,0.994138266646854,True
purchase_freight,2018-04,64271,6798,0.8,8,0.8079325454663057,0.35613059746820647,0.8731709975469383,True
purchase_freight,2018-04,64271,6798,0.85,11,0.8654743527465629,0.2794473310667061,0.9219091891596948,True
purchase_freight,2018-04,64271,6798,0.9,14,0.9089656933705648,0.23372303659085644,0.9453735421667492,True
purchase_freight,2018-04,64271,6798,0.95,19,0.9557602461906533,0.18081859612088197,0.9673046352968734,True
purchase_freight,2018-04,64271,6798,0.99,27,0.9917560677879772,0.09709795507203887,0.9905719871208283,True
purchase_freight,2018-05,71069,6749,0.8,8,0.8135262974735764,0.32446227327421845,0.8947242332217265,True
purchase_freight,2018-05,71069,6749,0.85,10,0.8527303816725984,0.28389409514042285,0.9194041427444005,True
purchase_freight,2018-05,71069,6749,0.9,13,0.9002287450294956,0.2352772931342319,0.9446445953354288,True
purchase_freight,2018-05,71069,6749,0.95,19,0.9566405202507466,0.1809407541060668,0.9672604435035279,True
purchase_freight,2018-05,71069,6749,0.99,27,0.9916313888814352,0.08010085861581889,0.9935838524490086,True
purchase_freight,2018-06,77818,6096,0.8,8,0.8210031547750393,0.41583733960765246,0.8270793069880299,True
purchase_freight,2018-06,77818,6096,0.85,10,0.8588987943782925,0.3744886800254344,0.8597582285328078,True
purchase_freight,2018-06,77818,6096,0.9,13,0.904284601740565,0.29965468776848725,0.9102070680983704,True
purchase_freight,2018-06,77818,6096,0.95,18,0.9507476026652039,0.2252053461162946,0.9492825520806399,True
purchase_freight,2018-06,77818,6096,0.99,27,0.991828841290783,0.11487262028920783,0.9868042811078914,True
purchase_freight,2018-07,83914,6156,0.8,7,0.8006444987360262,0.40358064566737095,0.8371226624427079,True
purchase_freight,2018-07,83914,6156,0.85,10,0.8593077441659092,0.3328399528068137,0.889217565815558,True
purchase_freight,2018-07,83914,6156,0.9,13,0.9046984754194143,0.2857667481530224,0.9183373656500471,True
purchase_freight,2018-07,83914,6156,0.95,18,0.9506976062121544,0.24087925988279624,0.9419771821583163,True
purchase_freight,2018-07,83914,6156,0.99,27,0.9915960733782601,0.12756790668885892,0.9837264291830226,True
purchase_freight,2018-08,90070,6351,0.8,7,0.8021207415868761,0.2794488255738114,0.9219083538854176,True
purchase_freight,2018-08,90070,6351,0.85,10,0.8605317309263454,0.23827796388144482,0.9432236119285129,True
purchase_freight,2018-08,90070,6351,0.9,13,0.9052176167816827,0.20705590395996462,0.957127852635322,True
purchase_freight,2018-08,90070,6351,0.95,18,0.9502772224938989,0.17420587132421575,0.9696523143961708,True
purchase_freight,2018-08,90070,6351,0.99,27,0.9912652316551638,0.08009564936526949,0.9935846869527558,True
