test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite,baseline_k0_average_precision,delta_ap_vs_k0,comparison_vs_k0
2018-02,2018-02-01,6,12,25,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1296641428937307,0.917870903529595,0.450640811410518,0.5236277804295909,0.1336114537420991,0.0572354211663066,0.0831533477321814,0.1393088552915766,0,74,True,0.1830184698021229,-0.0533543269083922,WORSE
2018-02,2018-02-01,10,20,33,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1295907638527171,0.9173514655016856,0.4522596266556981,0.520954860124418,0.1334366666179812,0.0475161987041036,0.0885529157667386,0.1414686825053995,0,81,True,0.1830184698021229,-0.053427705949405824,WORSE
2018-02,2018-02-01,15,30,43,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1275269859629481,0.902742325040092,0.4443863677262188,0.5290291424035953,0.1338815027191318,0.050755939524838,0.0755939524838013,0.1403887688984881,0,100,True,0.1830184698021229,-0.05549148383917482,WORSE
2018-02,2018-02-01,20,40,53,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1295649414535496,0.9171686730324168,0.4448222468725863,0.5271824732179352,0.1337345926813831,0.0561555075593952,0.0863930885529157,0.1555075593952483,0,81,True,0.1830184698021229,-0.05345352834857331,WORSE
2018-02,2018-02-01,23,46,59,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1276253822361325,0.9034388558940052,0.4402054195586187,0.5300603180023743,0.1339060855698481,0.0572354211663066,0.0874730021598272,0.1382289416846652,0,100,True,0.1830184698021229,-0.0553930875659904,WORSE
2018-02,2018-02-01,25,50,63,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1272541340196629,0.9008108515106806,0.4395590829194847,0.5314737272182612,0.1339878903346629,0.0572354211663066,0.0863930885529157,0.1382289416846652,0,94,True,0.1830184698021229,-0.05576433578246001,WORSE
2018-02,2018-02-01,27,54,67,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1286750844443675,0.9108695232535954,0.4468648548265366,0.5299013836839733,0.1339007896016424,0.060475161987041,0.0842332613390928,0.1414686825053995,0,107,True,0.1830184698021229,-0.0543433853577554,WORSE
2018-02,2018-02-01,30,60,73,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1316767520140935,0.9321178287822712,0.4576866289851191,0.5251412925433294,0.1336127522964996,0.0615550755939524,0.0863930885529157,0.1511879049676026,0,94,True,0.1830184698021229,-0.0513417177880294,WORSE
2018-03,2018-03-01,0,0,13,53595,2708,5.0527101408713495,7003,1328,0.1896330144223904,0.2426489580322382,1.2795712749245214,0.6153640995700864,0.6002498629244322,0.1719274597494131,0.0677710843373494,0.1370481927710843,0.2447289156626506,0,13,True,0.2426489580322382,0.0,TIE
2018-03,2018-03-01,1,2,15,53595,2708,5.0527101408713495,7003,1328,0.1896330144223904,0.1625068164942904,0.856954243907768,0.4020395679634838,0.6183532087575738,0.1856459066362399,0.0474397590361445,0.0843373493975903,0.1430722891566265,0,33,True,0.2426489580322382,-0.0801421415379478,WORSE
