current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift
2017-08,18071,4193,ADEQUATE,min_price,0.03513306280050221,0.011194037014362496,0.044910232090464935,8.207689065666173,0.08630587871362959,75.5,69.9,-5.599999999999994,95.1,0.0588853838065194
2017-08,18071,4193,ADEQUATE,price_range,0.00233630752630698,0.0,0.0,0.17251232917385756,,0.0,0.0,0.0,0.0,
2017-08,18071,4193,ADEQUATE,total_freight,0.04546389831042863,0.026046200058098434,0.06844225871979828,0.6796350014727957,0.0713902312471424,16.6,16.49,-0.11000000000000298,9.52,0.01155462184873981
2017-08,18071,4193,ADEQUATE,mean_freight,0.05563530755010221,0.13650546850520295,0.15295526587281666,0.6042373685750022,0.09031948708146521,16.05,15.87,-0.1800000000000015,6.6899999999999995,0.02690582959641278
2017-08,18071,4193,ADEQUATE,max_freight,0.05255834094160455,0.13943032369344877,0.15377513048338637,0.5921723939608426,0.08619685501613429,16.08,16.02,-0.05999999999999872,6.870000000000001,0.008733624454148284
2017-08,18071,4193,ADEQUATE,merchandise_plus_freight,0.02055581356010963,0.008195113814304749,0.03843341991293815,8.023803305437138,0.07139885482681205,102.22,99.98,-2.239999999999995,112.38000000000001,0.019932372308239854
2017-08,18071,4193,ADEQUATE,freight_price_ratio,0.025395812998950218,0.005424610634878545,0.03126689047080736,0.015515478448807293,0.06044334357371411,0.2249230769230769,0.2243739565943238,-0.0005491203287530944,0.25669457596906897,0.0021391972412352876
2017-09,22264,4150,ADEQUATE,item_count,0.004517444553636785,0.0,0.0,0.011078211516565517,,1.0,1.0,0.0,0.0,
2017-09,22264,4150,ADEQUATE,unique_product_count,0.0014915861794284613,0.0,0.0,0.0024542727142851106,,1.0,1.0,0.0,0.0,
2017-09,22264,4150,ADEQUATE,unique_seller_count,0.0006760711549035348,0.0,0.0,0.000843589954499846,,1.0,1.0,0.0,0.0,
2017-09,22264,4150,ADEQUATE,total_price,0.03842511981090013,0.009974154202001788,0.04239052520288153,13.640910644879519,0.13003727974146348,84.0,85.0,1.0,104.9,0.009532888465204956
2017-09,22264,4150,ADEQUATE,mean_price,0.04125685638710069,0.011677120342132615,0.04584505628951494,10.658902016847675,0.10988558780255335,75.0,79.0,4.0,97.0,0.041237113402061855
2017-09,22264,4150,ADEQUATE,max_price,0.040816186052149706,0.010868209840037077,0.0442313652702785,10.485274381247525,0.10589849141520034,76.0,79.0,3.0,99.0125,0.030299204645878045
2017-09,22264,4150,ADEQUATE,min_price,0.04073923433583421,0.011637636439736573,0.04576088315344446,10.77584929715261,0.11331071816143648,74.99,78.995,4.00500000000001,95.1,0.04211356466876982
2017-09,22264,4150,ADEQUATE,price_range,0.002312642593370162,0.0,0.0,0.2906270326725423,,0.0,0.0,0.0,0.0,
2017-09,22264,4150,ADEQUATE,total_freight,0.04799027226404723,0.024459672808197087,0.06630976851528925,0.9215156838637236,0.09599121706913788,16.6,16.81,0.2099999999999973,9.6,0.02187499999999972
2017-09,22264,4150,ADEQUATE,mean_freight,0.056877859984674595,0.07811552317045832,0.11751053005853797,0.717887560785206,0.10779092504282373,16.05,16.28,0.23000000000000043,6.66,0.034534534534534596
2017-09,22264,4150,ADEQUATE,max_freight,0.05582592677573395,0.09195771779777766,0.12688388973700981,0.7107362302966798,0.10167900290367378,16.08,16.39,0.3100000000000023,6.99,0.044349070100143384
2017-09,22264,4150,ADEQUATE,merchandise_plus_freight,0.031325669187710264,0.011956324511162922,0.046403339146060915,14.267516251207097,0.12830211776899886,102.03,104.37,2.3400000000000034,111.2025,0.021042692385512946
2017-09,22264,4150,ADEQUATE,freight_price_ratio,0.036437709154981346,0.008925207687887963,0.04008172538056876,0.019147923793057166,0.0756603343096326,0.2246065808297567,0.22248712132037723,-0.0021194595093794732,0.25307744101018825,0.008374746879529847
2017-10,26414,4478,ADEQUATE,item_count,0.009727034126237988,0.0,0.0,0.030263533491669103,,1.0,1.0,0.0,0.0,
2017-10,26414,4478,ADEQUATE,unique_product_count,0.0042466179015803185,0.0,0.0,0.006690508467686707,,1.0,1.0,0.0,0.0,
2017-10,26414,4478,ADEQUATE,unique_seller_count,0.004259536193418345,0.0,0.0,0.0050353776890886826,,1.0,1.0,0.0,0.0,
2017-10,26414,4478,ADEQUATE,total_price,0.02527127313790345,0.005337505552424492,0.031018349702396215,9.60927246632147,0.09160412265320751,84.9,89.0,4.099999999999994,104.9,0.03908484270734027
2017-10,26414,4478,ADEQUATE,mean_price,0.022297326796226757,0.004905979859831206,0.029736824537221696,6.901733776411092,0.0697074414343106,75.9,79.0,3.0999999999999943,99.00999999999999,0.031309968690031255
