previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks,rank_psi,rank_js,rank_robust_shift,consensus_rank_score
2018-04,2018-05,6798,6749,ADEQUATE,mean_freight,0.06646063219852649,0.022266283401429388,0.06329258650938391,18.23,16.32,-1.9100000000000001,9.600000000000001,0.19895833333333332,18.0,29.0,29.0,4.0,20.0
2017-01,2017-02,750,1653,ADEQUATE,mean_price,0.049192982456140455,0.07396108247385026,0.11491906043934905,69.9,76.05,6.1499999999999915,109.9675,0.05592561438606853,29.0,14.0,14.0,28.0,21.25
2017-01,2017-02,750,1653,ADEQUATE,min_price,0.051862068965517226,0.07918556106669704,0.11889584287253306,69.9,74.99,5.089999999999989,109.42499999999998,0.04651587845556308,27.0,11.0,11.0,44.0,23.25
2017-04,2017-05,2303,3545,ADEQUATE,mean_freight,0.07046527280599842,0.4273780545576556,0.27045608704931856,16.05,15.87,-0.1800000000000015,6.892500000000002,0.026115342763873985,14.0,1.0,1.0,80.0,24.0
2018-07,2018-08,6156,6351,ADEQUATE,total_freight,0.07179158291291488,0.027667211972874407,0.07054472492672177,19.0,18.33,-0.6700000000000017,12.725,0.052652259332023714,13.0,26.0,26.0,31.0,24.0
2018-07,2018-08,6156,6351,ADEQUATE,mean_freight,0.07253704118060333,0.029785496955591316,0.07316659557110329,18.49,18.01,-0.4799999999999969,9.770000000000001,0.04912998976458514,12.0,23.0,23.0,39.0,24.25
2017-08,2017-09,4193,4150,ADEQUATE,mean_freight,0.06085817153661155,0.016050844921675012,0.053772331419573695,15.87,16.28,0.4100000000000019,6.020000000000001,0.06810631229235911,20.0,32.0,32.0,19.0,25.75
2017-11,2017-12,7288,5513,ADEQUATE,freight_price_ratio,0.06067506739384376,0.0149867563374384,0.05194570513077582,0.23084816379146164,0.207582061950994,-0.02326610184046765,0.24143213926782792,0.09636704504638409,21.0,36.0,36.0,10.0,25.75
2017-08,2017-09,4193,4150,ADEQUATE,max_freight,0.05924802956160441,0.015256519867583982,0.052426183577322094,16.02,16.39,0.370000000000001,6.35,0.05826771653543323,23.0,35.0,35.0,24.0,29.25
2018-07,2018-08,6156,6351,ADEQUATE,max_freight,0.07294172948773553,0.02895488378480305,0.07215562861459918,18.52,18.14,-0.379999999999999,9.850000000000001,0.03857868020304558,11.0,24.0,24.0,61.0,30.0
2017-01,2017-02,750,1653,ADEQUATE,max_freight,0.08682879612825156,0.13993365453184184,0.157513369804498,16.27,16.21,-0.05999999999999872,5.737500000000001,0.010457516339869057,8.0,8.0,8.0,117.0,35.25
2017-04,2017-05,2303,3545,ADEQUATE,total_freight,0.06404377193664729,0.10872118530031459,0.1385953891980727,16.61,16.46,-0.14999999999999858,9.830000000000002,0.015259409969481033,19.0,9.0,9.0,107.0,36.0
2017-01,2017-02,750,1653,ADEQUATE,mean_freight,0.0864706594071385,0.21447595252251567,0.19449054127478918,16.11,16.14,0.030000000000001137,5.520000000000003,0.005434782608695855,9.0,6.0,6.0,134.0,38.75
