test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite
2017-10,2017-10-01,15,30,43,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04206853755390124,1.0073952468789826,0.5091056146617033,0.18841251487076457,0.04066763185914835,0.053475935828877004,0.08021390374331551,0.20320855614973263,0,60,True
2017-10,2017-10-01,20,40,53,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.0416703949103155,0.9978611144833841,0.5096365106920716,0.18624670484193925,0.04060373788086119,0.026737967914438502,0.10160427807486631,0.18181818181818182,0,30,True
2017-10,2017-10-01,23,46,59,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.041551004523359865,0.9950021297091203,0.5067203212294854,0.18692832243016347,0.04062413302575128,0.03208556149732621,0.09090909090909091,0.18181818181818182,0,32,True
2017-10,2017-10-01,25,50,63,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04181978269481848,1.001438432659878,0.5075191577446639,0.18729560464772735,0.04063229918547014,0.0374331550802139,0.10160427807486631,0.19786096256684493,0,38,True
2017-10,2017-10-01,27,54,67,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.041777030510679984,1.0004146664536095,0.5044858222096491,0.18765582725852864,0.04064087884703582,0.03208556149732621,0.09090909090909091,0.21390374331550802,0,46,True
2017-10,2017-10-01,30,60,73,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04136500538808521,0.9905480969403507,0.5037480512003111,0.18850485700948416,0.04066094643888758,0.0481283422459893,0.0748663101604278,0.19786096256684493,0,51,True
2017-11,2017-11-01,0,0,13,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.1609792895638693,1.2978064848910171,0.6050041101093442,0.45162067369526115,0.11678974727998016,0.07300884955752213,0.13716814159292035,0.2688053097345133,0,18,True
2017-11,2017-11-01,1,2,15,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.11767054000877619,0.9486536455574789,0.44691166522500947,0.5188351150233108,0.11993627705466854,0.05641592920353982,0.1161504424778761,0.18030973451327434,0,42,True
2017-11,2017-11-01,2,4,17,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.12033835307566004,0.9701614128489053,0.46400292767316514,0.5133509349363886,0.1197511667107,0.06747787610619468,0.10951327433628319,0.17588495575221239,0,42,True
2017-11,2017-11-01,3,6,19,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.12925162085967917,1.0420197044528117,0.4993924939561292,0.523529388852087,0.1199669722582217,0.05752212389380531,0.10951327433628319,0.20464601769911506,0,43,True
