year,uf,city_norm,id_municipio,population,log_population,gdp_current,gdp_per_capita,log_gdp_per_capita
2018,PB,SANTA LUZIA,2513406,15336.0,9.638023488650779,233120.506,15200.87,9.62917372558304
2018,PB,SANTANA DE MANGUEIRA,2513505,5198.0,8.556221578383715,42361.026,8149.49,9.005833327126998
2018,PB,SANTANA DOS GARROTES,2513604,7077.0,8.864746660905409,55804.094,7885.28,8.97287981976718
2018,PB,JOCA CLAUDINO,2513653,2685.0,7.895808377083183,27410.146,10208.62,9.231085692052769
2018,PB,SANTA RITA,2513703,135807.0,11.8189974025336,2389673.663,17596.1,9.775489394722452
2018,PB,SANTA TERESINHA,2513802,4585.0,8.43076346341785,44086.061,9615.28,9.171212774487504
2018,PB,SANTO ANDRE,2513851,2532.0,7.837159650001675,25625.214,10120.54,9.222421105177224
2018,PB,SAO BENTO,2513901,33796.0,10.42812732013549,437512.068,12945.68,9.468594663602738
2018,PB,SAO BENTINHO,2513927,4492.0,8.41027590907016,46428.673,10335.86,9.243471426895459
2018,PB,SAO DOMINGOS DO CARIRI,2513943,2581.0,7.856319571406588,23955.676,9281.55,9.135891572516664
2018,PB,SAO DOMINGOS,2513968,3087.0,8.035278911144667,28971.865,9385.12,9.14698728127157
2018,PB,SAO FRANCISCO,2513984,3371.0,8.123261319121745,34223.972,10152.47,9.225570797966226
2018,PB,SAO JOAO DO CARIRI,2514008,4313.0,8.369620826949102,44753.192,10376.35,9.247380825474378
2018,PB,SAO JOAO DO TIGRE,2514107,4430.0,8.39638057119949,35051.507,7912.3,8.976300167186762
2018,PB,SAO JOSE DA LAGOA TAPADA,2514206,7680.0,8.946505025998682,59089.793,7693.98,8.948323447179284
2018,PB,SAO JOSE DE CAIANA,2514305,6255.0,8.741296282225147,47335.159,7567.57,8.931759425020259
2018,PB,SAO JOSE DE ESPINHARAS,2514404,4665.0,8.448057452581375,47346.641,10149.33,9.22526149625669
2018,PB,SAO JOSE DOS RAMOS,2514453,5915.0,8.68541582383069,47539.531,8037.11,8.991949259911776
