year,month,uf,diesel_common_state_mean,diesel_s10_state_mean,diesel_common_state_n_posts,diesel_s10_state_n_posts
2017,6,CE,3.126059880239521,3.206651413189771,334,743
2017,6,DF,3.223,3.393,64,145
2017,6,ES,3.0387617647058818,3.1368575581395346,340,344
2017,6,GO,3.046004059539919,3.2067242063492065,739,504
2017,6,MA,2.9679444444444445,3.0693846153846156,324,416
2017,6,MG,3.006578080636002,3.1401762954139367,1761,1679
2017,6,MS,3.303702222222222,3.445753623188406,225,276
2017,6,MT,3.2991032745591937,3.4300899357601713,397,467
2017,6,PA,3.2574726688102897,3.290446700507615,311,394
2017,6,PB,2.9735197740113,3.049857142857143,177,182
2017,6,PE,2.9512500000000004,2.947775862068965,152,754
2017,6,PI,3.0359358974358974,3.1475391304347826,156,230
2017,6,PR,2.7829978655282814,2.8933132313231322,937,1111
2017,6,RJ,3.117337,3.276630272952854,1000,1209
2017,6,RN,3.015515463917526,3.1477536945812803,194,203
2017,6,RO,3.171440433212997,3.2728379446640314,277,253
2017,6,RR,3.141,3.193,33,35
2017,6,RS,2.9132297435897434,3.0711096563011453,975,1222
2017,6,SC,2.910489583333333,3.0319651442307696,480,832
2017,6,SE,2.900952380952381,3.058884892086331,84,139
2017,6,SP,2.9163973870440936,3.049298300818125,3674,4767
2017,6,TO,2.957237288135593,2.991464968152866,118,157
2017,7,AC,3.7971694915254237,3.810564356435644,118,101
2017,7,AL,3.022122807017544,3.1248426966292135,171,178
2017,7,AM,3.2317823834196893,3.3520532544378696,193,169
2017,7,AP,3.391153846153846,3.967304347826087,78,46
2017,7,BA,2.978145416227608,3.0838982092365694,949,1061
2017,7,CE,3.0992714285714285,3.1635859375,350,768
2017,7,DF,3.186,3.285,61,105
2017,7,ES,3.0426372239747637,3.142528700906344,317,331
2017,7,GO,3.0415915080527083,3.194913757700205,683,487
2017,7,MA,2.9375420560747663,3.042948955916473,321,431
2017,7,MG,2.998800882515168,3.136590033975085,1813,1766
2017,7,MS,3.2577866666666666,3.4115300353356894,225,283
2017,7,MT,3.286604395604395,3.41495145631068,364,412
2017,7,PA,3.2273221476510066,3.2532390243902443,298,410
2017,7,PB,2.9697643312101913,3.0530591133004923,157,203
2017,7,PE,2.9266477987421387,2.9385392809587216,159,751
2017,7,PI,3.035785714285714,3.147256505576208,168,269
2017,7,PR,2.751177354709419,2.8621312056737582,998,1128
2017,7,RJ,3.115781914893617,3.26959465828751,940,1273
2017,7,RN,2.9892222222222222,3.13852,189,200
2017,7,RO,3.1161320754716986,3.215991769547325,265,243
2017,7,RR,3.031,3.095,31,34
2017,7,RS,2.8774561933534746,3.0240259631490787,993,1194
2017,7,SC,2.8492827442827444,2.977407911001236,481,809
2017,7,SE,2.8549302325581394,3.0198345323741007,86,139
2017,7,SP,2.9046692849404114,3.03541464417935,3692,4862
2017,7,TO,2.9235528455284556,2.9787,123,160
2017,8,AC,3.85696,3.9135663716814166,125,113
2017,8,AL,3.137557692307692,3.192715447154471,104,123
2017,8,AM,3.235689189189189,3.3982550335570467,148,149
2017,8,AP,3.4907647058823525,4.03093103448276,85,29
2017,8,BA,3.12161921708185,3.2225140056022403,562,714
2017,8,CE,3.2596764705882353,3.250592281879195,170,596
2017,8,DF,3.278,3.409,75,132
2017,8,ES,3.1587729729729728,3.2724786729857818,185,211
2017,8,GO,3.183732758620689,3.3170053619302946,464,373
2017,8,MA,3.040078431372549,3.136243243243243,204,296
2017,8,MG,3.14784375,3.287276273022752,896,923
2017,8,MS,3.383207317073171,3.5639592760181,164,221
2017,8,MT,3.4420930232558136,3.54111797752809,301,356
2017,8,PA,3.343920454545455,3.3655330882352943,176,272
2017,8,PB,3.021212765957447,3.1031869918699186,94,123
2017,8,PE,3.024411111111111,3.037526932084309,90,427
2017,8,PI,3.1382526315789474,3.248555555555555,95,171
2017,8,PR,2.882555762081784,3.004905547226387,538,667
2017,8,RJ,3.233670774647887,3.3926434316353893,568,746
2017,8,RN,3.09418320610687,3.2558333333333334,131,150
2017,8,RO,3.2650760233918126,3.3685652173913043,171,184
2017,8,RR,3.143,3.2,39,42
2017,8,RS,3.0094053571428576,3.151298527443106,560,747
2017,8,SC,2.978298305084745,3.0991669724770645,295,545
2017,8,SE,3.057213114754098,3.234484375,61,128
2017,8,SP,3.0344424865394033,3.1784806705439617,2043,2923
2017,8,TO,3.022620253164557,3.089666666666666,79,105
2017,9,AC,3.901,3.955521739130435,91,92
2017,9,AL,3.206829787234042,3.2739901960784312,94,102
2017,9,AM,3.3020826446280993,3.4471869158878503,121,107
2017,9,AP,3.4728591549295773,3.9181999999999997,71,30
2017,9,BA,3.161165562913908,3.255905172413793,453,580
2017,9,CE,3.281876811594203,3.3222505010020043,138,499
2017,9,DF,3.421,3.641,55,94
2017,9,ES,3.229769736842105,3.337187134502923,152,171
2017,9,GO,3.232002770083102,3.37183922829582,361,311
2017,9,MA,3.1095337423312888,3.190942148760331,163,242
2017,9,MG,3.2287871536523927,3.3595250917992656,794,817
2017,9,MS,3.4642733812949644,3.644139534883721,139,172
2017,9,MT,3.535031111111111,3.6108896551724143,225,290
2017,9,PA,3.4130588235294117,3.424058035714286,136,224
2017,9,PB,3.1044155844155847,3.1666074766355137,77,107
2017,9,PE,3.08427397260274,3.0831194444444443,73,360
2017,9,PI,3.2127865168539325,3.3512422360248446,89,161
2017,9,PR,3.005029787234043,3.1146447811447806,470,594
2017,9,RJ,3.2916529284164864,3.4523885448916416,461,646
2017,9,RN,3.1977090909090906,3.3476065573770493,110,122
2017,9,RO,3.3476642857142855,3.4564509803921566,140,153
2017,9,RR,3.202,3.24,32,32
2017,9,RS,3.0888611713665943,3.223164128595601,461,591
2017,9,SC,3.095762295081967,3.2095518763796904,244,453
2017,9,SE,3.1660833333333334,3.3091041666666663,48,96
2017,9,SP,3.110636670416198,3.2459647803719824,1778,2527
2017,9,TO,3.1083846153846153,3.1283548387096776,65,93
2017,10,AC,3.9386703296703294,4.009802197802197,91,91
2017,10,AL,3.2306701030927836,3.2785344827586207,97,116
2017,10,AM,3.3596241134751774,3.4934580645161297,141,155
2017,10,AP,3.6096813186813193,4.111,91,33
2017,10,BA,3.203331560283688,3.299979108635098,564,718
2017,10,CE,3.334059602649007,3.3453821138211395,151,615
2017,10,DF,3.47,3.647,74,113
2017,10,ES,3.2717836538461538,3.3778636363636365,208,220
2017,10,GO,3.2665795454545457,3.398087064676617,440,402
2017,10,MA,3.1174427083333334,3.1756456953642385,192,302
2017,10,MG,3.2800628742514975,3.403660469667319,1002,1022
2017,10,MS,3.510627118644068,3.6554419642857146,177,224
2017,10,MT,3.602931297709924,3.6902021857923497,262,366
2017,10,PA,3.468401162790698,3.462904761904762,172,273
2017,10,PB,3.1484523809523814,3.193327731092437,84,119
2017,10,PE,3.113872093023255,3.1161367924528296,86,424
2017,10,PI,3.2164363636363635,3.325256281407035,110,199
2017,10,PR,3.061854166666667,3.171382113821138,576,738
2017,10,RJ,3.3405235690235693,3.5002399481193263,594,771
2017,10,RN,3.2335230769230776,3.39171875,130,160
2017,10,RO,3.3846234567901234,3.4778771929824566,162,171
2017,10,RR,3.235,3.287,38,42
2017,10,RS,3.1403165217391305,3.274508108108108,575,740
2017,10,SC,3.124673611111111,3.2414257602862255,288,559
2017,10,SE,3.182607142857143,3.329626086956522,56,115
2017,10,SP,3.169136172204024,3.2991458868894603,2137,3112
2017,10,TO,3.1204772727272725,3.1706315789473685,88,114
2017,11,AC,4.0413703703703705,4.1006470588235295,108,102
2017,11,AL,3.2559012345679013,3.2968113207547165,81,106
2017,11,AM,3.3675089285714286,3.5144144144144143,112,111
2017,11,AP,3.7057258064516128,4.212571428571429,62,35
2017,11,BA,3.2391447368421056,3.340192041522491,456,578
2017,11,CE,3.3721428571428573,3.4604170040485824,133,494
2017,11,DF,3.524,3.692,56,97
2017,11,ES,3.2918679245283022,3.4047808988764046,159,178
2017,11,GO,3.366149295774647,3.4809384164222865,355,341
2017,11,MA,3.1391625,3.2076736401673642,160,239
2017,11,MG,3.3652969543147213,3.482559718969555,788,854
2017,11,MS,3.6310601503759403,3.7817167630057806,133,173
2017,11,MT,3.6554975845410627,3.736572413793104,207,290
2017,11,PA,3.5291,3.552647826086956,150,230
2017,11,PB,3.171922077922078,3.2269696969696966,77,132
2017,11,PE,3.173521739130435,3.152217171717172,69,396
2017,11,PI,3.3023085106382983,3.41821875,94,160
2017,11,PR,3.1263844492440604,3.2263018549747047,463,593
2017,11,RJ,3.415914583333334,3.5786610169491526,480,649
2017,11,RN,3.3432252252252255,3.456402985074627,111,134
2017,11,RO,3.44735,3.5487325581395344,160,172
2017,11,RR,3.375,3.432,33,37
2017,11,RS,3.207566735112936,3.3289546979865765,487,596
2017,11,SC,3.188622727272727,3.3174775784753363,220,446
2017,11,SE,3.244586956521739,3.4041397849462363,46,93
2017,11,SP,3.2427325519445924,3.371293897416699,1877,2671
2017,11,TO,3.1793548387096773,3.2272765957446814,62,94
2017,12,AC,4.101010989010989,4.154364705882353,91,85
2017,12,AL,3.313880952380952,3.357885714285714,84,105
2017,12,AM,3.3905714285714286,3.5301682242990653,119,107
2017,12,AP,3.7600000000000002,4.3055641025641025,62,39
2017,12,BA,3.2715717439293597,3.369215034965035,453,572
2017,12,CE,3.4324285714285714,3.4823259999999996,126,500
2017,12,DF,3.575,3.728,49,96
2017,12,ES,3.298225,3.4116536312849157,160,179
2017,12,GO,3.425595808383234,3.5364695121951217,334,328
2017,12,MA,3.184431372549019,3.231695833333333,153,240
2017,12,MG,3.399831619537275,3.5200000000000005,778,838
2017,12,MS,3.6979407407407403,3.8692758620689665,135,174
2017,12,MT,3.692024390243903,3.771107266435986,205,289
2017,12,PA,3.570623287671233,3.572954954954955,146,222
2017,12,PB,3.215820895522388,3.25,67,116
2017,12,PE,3.22504347826087,3.210601694915254,69,354
2017,12,PI,3.331804347826087,3.44988679245283,92,159
2017,12,PR,3.1608995633187775,3.260835255354201,458,607
2017,12,RJ,3.4666311300639663,3.6295278219395866,469,629
2017,12,RN,3.3760275229357797,3.4915820895522387,109,134
2017,12,RO,3.4924761904761907,3.599680555555556,147,144
2017,12,RR,3.399,3.444,31,32
2017,12,RS,3.250883575883576,3.3667583892617454,481,596
2017,12,SC,3.2245990990990987,3.3530045146726866,222,443
2017,12,SE,3.282,3.4212272727272732,48,88
2017,12,SP,3.2716886846639865,3.4013860808709175,1741,2572
2017,12,TO,3.2230526315789474,3.303260869565217,76,92
2018,1,AC,4.138000000000001,4.176858333333334,130,120
2018,1,AL,3.36575956284153,3.454742081447964,183,221
2018,1,AM,3.5021306532663314,3.6341565656565655,199,198
2018,1,AP,3.7861754385964907,4.226641791044776,114,67
2018,1,BA,3.3467120370370376,3.4441573398215732,1080,1233
2018,1,CE,3.5431454005934717,3.5600484848484837,337,990
2018,1,DF,3.576,3.7180000000000004,91,153
2018,1,ES,3.331811940298508,3.4342639999999998,335,375
2018,1,GO,3.4641616688396346,3.577382054992764,767,691
2018,1,MA,3.278887573964497,3.3197263581488934,338,497
2018,1,MG,3.4781904249596556,3.5862942655935615,1859,1988
2018,1,MS,3.7379805447470815,3.87114899713467,257,349
2018,1,MT,3.6987977272727273,3.784580869565217,440,575
2018,1,PA,3.610362318840579,3.6336618556701032,345,485
2018,1,PB,3.305993243243243,3.387913242009133,148,219
2018,1,PE,3.329379746835443,3.3216396181384256,158,838
2018,1,PI,3.416536082474227,3.514117647058824,194,306
2018,1,PR,3.192309523809524,3.290812954876273,1092,1374
2018,1,RJ,3.5357702169625247,3.6789318023660402,1014,1437
2018,1,RN,3.4636714975845413,3.5933803418803425,207,234
2018,1,RO,3.592566153846154,3.687768729641694,325,307
2018,1,RR,3.496,3.556,52,56
2018,1,RS,3.2934978650725877,3.4145538461538454,1171,1430
2018,1,SC,3.2376557093425604,3.3610170293282877,578,1057
2018,1,SE,3.3765151515151515,3.500333333333333,99,165
2018,1,SP,3.2975208587460356,3.419584151593454,4099,5805
2018,1,TO,3.330975,3.4031455399061032,160,213
2018,2,AC,4.1183749999999995,4.16873417721519,160,158
2018,2,AL,3.3945359477124186,3.4941657142857143,153,175
2018,2,AM,3.5346225165562917,3.6496853146853145,151,143
2018,2,AP,3.910565217391305,4.407258064516129,92,62
2018,2,BA,3.371202433628318,3.474063768115942,904,1035
2018,2,CE,3.562292490118577,3.561884236453202,253,812
2018,2,DF,3.588,3.734,60,105
2018,2,ES,3.3500857988165684,3.4535925925925928,338,378
2018,2,GO,3.4734679300291553,3.5837544483985764,686,562
2018,2,MA,3.3401482889733844,3.3652178217821778,263,404
2018,2,MG,3.485005784061696,3.5970509515039897,1556,1629
2018,2,MS,3.732408071748879,3.8612203947368418,223,304
2018,2,MT,3.706702412868633,3.791129363449692,373,487
2018,2,PA,3.6103285714285716,3.645928571428571,280,406
2018,2,PB,3.3275369127516776,3.4186822916666664,149,192
2018,2,PE,3.381969696969697,3.366518867924528,99,636
2018,2,PI,3.4835855263157893,3.5815510204081633,152,245
2018,2,PR,3.194629339305711,3.2917586837294333,893,1094
2018,2,RJ,3.552482100238664,3.6932086513994915,838,1179
2018,2,RN,3.5007931034482755,3.6328940092165896,174,217
2018,2,RO,3.6087769230769227,3.6993264462809914,260,242
2018,2,RR,3.489,3.552,44,50
2018,2,RS,3.318207003089598,3.4352110552763824,971,1194
2018,2,SC,3.2503020594965677,3.3693112980769224,437,832
2018,2,SE,3.388566265060241,3.5281812865497075,83,171
2018,2,SP,3.294641379310344,3.4201827000808405,3480,4948
2018,2,TO,3.3645737704918033,3.4377627118644063,122,177
2018,3,AC,4.139929577464788,4.187709219858156,142,141
2018,3,AL,3.4158965517241375,3.510099447513812,145,181
2018,3,AM,3.5029945945945946,3.6177461139896367,185,193
2018,3,AP,3.8636373626373626,4.406888888888888,91,54
2018,3,BA,3.3759932810750275,3.4766676272814605,893,1041
2018,3,CE,3.574232638888889,3.596626777251184,288,844
2018,3,DF,3.568,3.71,106,178
2018,3,ES,3.3337095709570956,3.433878419452888,303,329
2018,3,GO,3.4664048706240487,3.5768067978533096,657,559
2018,3,MA,3.336268199233716,3.3686192560175052,261,457
2018,3,MG,3.4749282147315848,3.58958290005777,1602,1731
2018,3,MS,3.7265,3.845538983050848,224,295
2018,3,MT,3.7072472826086953,3.78846835443038,368,474
2018,3,PA,3.613557251908398,3.635752403846154,262,416
2018,3,PB,3.3388695652173914,3.418854271356784,138,199
2018,3,PE,3.3876874999999997,3.3524097902097902,112,715
2018,3,PI,3.4630443037974685,3.564645283018868,158,265
2018,3,PR,3.1823794983642313,3.2839217830109333,917,1189
2018,3,RJ,3.5573155452436196,3.6939711902956787,862,1319
2018,3,RN,3.486840182648402,3.6330604838709677,219,248
2018,3,RO,3.5884400000000003,3.68109765625,275,256
2018,3,RR,3.4780000000000006,3.544,45,51
